"id","course_code","name","category","credits","description","prerequisites__001","prerequisites__002","year_inferred","course_type","LT_PJ__L","LT_PJ__T","LT_PJ__P","LT_PJ__J","source"
"BCHY101L","BCHY101L","Engineering Chemistry","Foundation Core","3.0","Introductory and intermediate concepts in Engineering Chemistry, covering fundamental principles, methods, and applications.","","","1","Theory Only","3","0","0","0","null"
"BCHY101P","BCHY101P","Engineering Chemistry Lab","Foundation Core","1.0","Laboratory work reinforcing Engineering Chemistry through experiments and techniques.","","","1","Lab Only","0","0","2","0","null"
"BCSE101E","BCSE101E","Computer Programming: Python","Foundation Core","3.0","Foundations of Python programming with hands-on lab for algorithms and problem solving.","","","1","Embedded Theory and Lab","1","0","4","0","null"
"BCSE102L","BCSE102L","Structured and Object-Oriented Programming","Foundation Core","2.0","Core concepts of procedural and object-oriented programming design and paradigms.","","","1","Theory Only","2","0","0","0","null"
"BCSE102P","BCSE102P","Structured and Object-Oriented Programming Lab","Foundation Core","2.0","Practical implementation of structured and OOP techniques and patterns.","","","1","Lab Only","0","0","4","0","null"
"BCSE103E","BCSE103E","Computer Programming: Java","Foundation Core","3.0","Java language basics, OOP, and application development with lab.","","","1","Embedded Theory and Lab","1","0","4","0","null"
"BEEE102L","BEEE102L","Basic Electrical and Electronics Engineering","Foundation Core","3.0","Electrical circuits, components, and basic electronics principles.","","","1","Theory Only","3","0","0","0","null"
"BEEE102P","BEEE102P","Basic Electrical and Electronics Engineering Lab","Foundation Core","1.0","Hands-on experiments in basic electrical and electronic systems.","","","1","Lab Only","0","0","2","0","null"
"BENG101L","BENG101L","Technical English Communication","Foundation Core","2.0","Professional communication skills for technical contexts.","","","1","Theory Only","2","0","0","0","null"
"BENG101P","BENG101P","Technical English Communication Lab","Foundation Core","1.0","Practice in presentations, reports, and technical communication tasks.","","","1","Lab Only","0","0","2","0","null"
"BENG102P","BENG102P","Technical Report Writing","Foundation Core","1.0","Structured writing of technical documents and reports.","","","1","Lab Only","0","0","2","0","null"
"BFLE200L","BFLE200L","B.Tech. Foreign Language - 2021onwards","Foundation Core","2.0","Foreign language learning for professional contexts.","","","1","Basket","0","0","0","0","null"
"BHSM200L","BHSM200L","B.Tech. HSM Elective - 2021 onwards","Foundation Core","3.0","Humanities and social sciences elective basket.","","","1","Basket","0","0","0","0","null"
"BMAT101L","BMAT101L","Calculus","Foundation Core","3.0","Limits, derivatives, integrals, and applications.","","","1","Theory Only","3","0","0","0","null"
"BMAT101P","BMAT101P","Calculus Lab","Foundation Core","1.0","Computational exercises for calculus concepts.","","","1","Lab Only","0","0","2","0","null"
"BMAT102L","BMAT102L","Differential Equations and Transforms","Foundation Core","4.0","ODEs, Laplace/fourier transforms for engineering.","","","1","Theory Only","3","1","0","0","null"
"BMAT201L","BMAT201L","Complex Variables and Linear Algebra","Foundation Core","4.0","Matrices, vector spaces, eigen analysis, complex functions.","","","1","Theory Only","3","1","0","0","null"
"BMAT202L","BMAT202L","Probability and Statistics","Foundation Core","3.0","Random variables, distributions, estimation, inference.","","","1","Theory Only","3","0","0","0","null"
